iter	Passed	Remaining
0	2	2559
1	4	2240
2	6	2210
3	8	2168
4	10	2098
5	12	2047
6	14	2036
7	16	2014
8	18	1982
9	19	1946
10	21	1934
11	23	1917
12	25	1907
13	27	1919
14	29	1908
15	30	1890
16	32	1900
17	34	1908
18	36	1902
19	38	1899
20	40	1893
21	42	1885
22	44	1876
23	46	1893
24	48	1887
25	50	1893
26	52	1886
27	53	1874
28	56	1900
29	58	1893
30	60	1883
31	61	1874
32	63	1875
33	66	1881
34	68	1882
35	70	1882
36	72	1876
37	74	1873
38	76	1875
39	78	1875
40	79	1870
41	81	1863
42	83	1856
43	85	1853
44	87	1861
45	89	1853
46	91	1846
47	92	1837
48	94	1839
49	96	1838
50	99	1844
51	100	1840
52	102	1831
53	104	1830
54	106	1829
55	108	1826
56	110	1823
57	111	1815
58	113	1813
59	115	1811
60	117	1804
61	118	1799
62	120	1795
63	122	1792
64	124	1790
65	126	1786
66	128	1785
67	130	1783
68	131	1778
69	133	1775
70	135	1772
71	137	1770
72	139	1765
73	140	1762
74	142	1756
75	144	1753
76	146	1754
77	147	1749
78	149	1746
79	151	1740
80	152	1735
81	155	1745
82	157	1735
83	158	1731
84	160	1727
85	162	1723
86	164	1725
87	166	1725
88	168	1723
89	170	1719
90	171	1715
91	173	1711
92	175	1708
93	177	1710
94	179	1706
95	180	1703
96	182	1699
97	184	1695
98	186	1692
99	187	1690
100	189	1688
101	191	1684
102	192	1680
103	194	1679
104	197	1679
105	198	1677
106	200	1672
107	202	1668
108	203	1666
109	205	1665
110	207	1662
111	209	1660
112	211	1657
113	213	1655
114	215	1654
115	216	1653
116	218	1649
117	220	1646
118	221	1642
119	224	1647
120	226	1647
121	228	1641
122	229	1639
123	231	1638
124	233	1637
125	236	1637
126	237	1634
127	239	1633
128	241	1631
129	243	1630
130	245	1629
131	247	1626
132	249	1624
133	250	1621
134	252	1618
135	254	1618
136	256	1617
137	258	1617
138	260	1614
139	262	1611
140	264	1609
141	265	1603
142	267	1603
143	269	1602
144	271	1599
145	273	1597
146	275	1598
147	277	1596
148	279	1593
149	280	1590
150	282	1588
151	284	1586
152	286	1584
153	288	1584
154	290	1581
155	291	1578
156	293	1575
157	295	1574
158	297	1572
159	299	1570
160	300	1564
161	301	1561
162	303	1558
163	305	1556
164	306	1553
165	308	1551
166	310	1547
167	312	1545
168	313	1543
169	315	1541
170	317	1539
171	319	1535
172	320	1533
173	322	1530
174	324	1529
175	326	1528
176	328	1526
177	330	1525
178	331	1522
179	333	1520
180	335	1518
181	337	1515
182	338	1513
183	341	1512
184	342	1510
185	344	1508
186	346	1506
187	348	1504
188	350	1503
189	351	1500
190	353	1497
191	355	1495
192	357	1493
193	359	1493
194	361	1491
195	362	1488
196	365	1489
197	367	1488
198	369	1487
199	371	1486
200	373	1485
201	375	1484
202	377	1482
203	379	1482
204	381	1479
205	383	1477
206	385	1476
207	387	1474
208	389	1473
209	391	1472
210	393	1471
211	395	1470
212	397	1469
213	399	1467
214	401	1464
215	402	1461
216	405	1462
217	406	1459
218	408	1457
219	411	1458
220	412	1455
221	414	1454
222	417	1453
223	419	1451
224	420	1449
225	422	1446
226	424	1445
227	426	1443
228	428	1441
229	430	1440
230	432	1438
231	434	1436
232	436	1435
233	438	1434
234	440	1432
235	441	1430
236	443	1428
237	445	1426
238	447	1424
239	449	1424
240	451	1422
241	453	1420
242	455	1418
243	457	1417
244	459	1414
245	460	1412
246	462	1409
247	464	1407
248	466	1406
249	468	1404
250	470	1402
251	471	1400
252	473	1397
253	475	1396
254	477	1393
255	479	1392
256	480	1390
257	482	1388
258	484	1386
259	486	1384
260	488	1382
261	490	1380
262	491	1378
263	493	1375
264	495	1374
265	497	1372
266	499	1370
267	500	1368
268	502	1365
269	504	1364
270	506	1361
271	508	1359
272	509	1357
273	511	1354
274	512	1352
275	514	1350
276	516	1349
277	518	1347
278	520	1345
279	522	1342
280	524	1341
281	525	1339
282	527	1337
283	529	1334
284	531	1332
285	532	1330
286	534	1328
287	536	1326
288	538	1324
289	540	1322
290	541	1320
291	543	1318
292	545	1316
293	547	1314
294	549	1312
295	551	1310
296	552	1308
297	554	1306
298	556	1304
299	558	1303
300	560	1300
301	561	1298
302	563	1296
303	565	1294
304	567	1292
305	569	1290
306	570	1288
307	572	1286
308	574	1285
309	576	1283
310	578	1281
311	580	1279
312	582	1277
313	583	1275
314	585	1273
315	587	1272
316	589	1270
317	591	1268
318	593	1266
319	594	1264
320	596	1262
321	598	1260
322	600	1258
323	602	1256
324	603	1254
325	605	1252
326	607	1250
327	609	1248
328	611	1246
329	612	1244
330	615	1243
331	617	1242
332	619	1241
333	621	1239
334	623	1236
335	624	1235
336	626	1233
337	628	1231
338	630	1229
339	632	1226
340	633	1224
341	635	1222
342	637	1220
343	639	1218
344	641	1216
345	642	1214
346	644	1212
347	646	1210
348	647	1207
349	648	1205
350	650	1202
351	651	1199
352	653	1197
353	654	1195
354	656	1193
355	658	1191
356	660	1189
357	662	1187
358	664	1185
359	665	1183
360	667	1181
361	669	1180
362	671	1178
363	673	1176
364	675	1174
365	677	1173
366	679	1171
367	680	1169
368	682	1167
369	684	1165
370	686	1164
371	688	1162
372	690	1160
373	692	1158
374	694	1156
375	695	1154
376	697	1152
377	699	1151
378	701	1149
379	702	1146
380	704	1144
381	706	1142
382	708	1140
383	710	1139
384	711	1137
385	713	1135
386	715	1133
387	717	1131
388	719	1130
389	721	1128
390	723	1126
391	725	1124
392	727	1123
393	729	1121
394	731	1119
395	733	1118
396	735	1116
397	737	1114
